Parent Category,Category,Part Number,Long Description,MSRP/Trade Price,Sales Price,Future MSRP/Trade Price,Future MSRP/Trade Price Effective Date,Future Sales Price,Future Sales Price Effective Date,Minimum Order Quantity,Product Status,Agency,COO,UPC
Advanced RF Technologies (ADRF),ADRF Test Equipment,ADRF-09500-04-U,PCTEL 09500-04-U CELLULAR UPGRADE - PUBLIC SAFETY NETWORK TESTING SOLUTION (FROM P25),$44655.64,$29696.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),ADRF Test Equipment,ADRF-09531-NL,PCTEL SEEHAWK CENTRAL BASE WITH AUTOMATED WORKFLOW MANAGEMENT UNLIMITED UPLOADS,$0.00,$0.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),ADRF Test Equipment,ADRF-OP416,PCTEL OP416 DUAL BATTERY POWER PACK AND CHARGER KIT - IBFLEX (INCLUDES 2 BATTERIES),$2921.80,$1943.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),ADRF Test Equipment,ADRF-OP524-WI-FI,PCTEL WI-FI Technology Option,$5091.73,$3386.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),ADRF Test Equipment,ADRF-OP614-US,PCTEL OP614-US IBFLEX WI-FI WIRELESS ADAPTER - US (802.11A/B/G/N/AC),$443.61,$295.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),ADRF Test Equipment,ADRF-OPT009-1,PCTEL OPT009-1 SEEHAWK CENTRAL TRAINING - HALF DAY WEB BASED - FOR MULTIPLE CUSTOMERS,$0.00,$0.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Antenna,AD-DBYG-698-2700-N,698~2700MHZ DONOR YAGI ANTENNA (10 DBI GAIN 70 DEGREES HORIZONTAL BW 50 DEGREES VERTICAL BW),$309.77,$206.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Antenna,AD-DBYG-860-2000-12,PCS/Cellular Dual Band Yagi ( 5 dBi Gain ? 800MHz / 11.5 dBi Gain ? 1900MHz 80 ~ 120 degree beamwidth ? 800MHz / 40 ~ 60 degree beamwidth ? 1900MHz),$206.02,$137.00,,,,,1,,,KR,
Advanced RF Technologies (ADRF),Antenna,AD-OMNI-4T4R-4310,Omni-Directional 4x4 MIMO Antenna,$350.38,$233.00,,,,,1,,UL,KR,
Advanced RF Technologies (ADRF),Antenna,AD-OMNI-SISO-4310,Low PIM SISO Omni Server Antenna (698MHz-2700MHz) (4.3-10 Female),$103.76,$69.00,,,,,1,,,KR,
